year,field,scale,tech_type,revenue,employees,researchers,rd_cost
2019,기타,기타,전체,170123458.0,170312.0,56520.0,8205879.0
2020,기타,기타,전체,6976753.0,25760.0,10723.0,893335.0
2021,기타,기타,전체,10302641.0,18877.0,6528.0,463525.0
2022,기타,기타,전체,13965684.0,20623.0,7576.0,915236.0
2019,기타,기타,전체,117872622.0,73086.0,19354.0,3724151.0
2020,기타,기타,전체,21005760.0,31968.0,12338.0,2209632.0
2021,기타,기타,전체,168685256.0,180951.0,58312.0,7291494.0
2022,기타,기타,전체,7561361.0,26208.0,9174.0,942395.0
2019,기타,기타,전체,9736318.0,24377.0,6371.0,535934.0
2020,기타,기타,전체,6600940.0,11444.0,2620.0,235295.0
2021,기타,기타,전체,8714522.0,14033.0,3600.0,389279.0
2022,기타,기타,전체,126249727.0,81985.0,28286.0,3262049.0
2019,기타,기타,전체,9822388.0,22904.0,8262.0,1926542.0
2020,기타,기타,전체,200365088.0,240427.0,77116.0,10685835.0
2021,기타,기타,전체,8084785.0,32064.0,12334.0,1490162.0
2022,기타,기타,전체,10288648.0,29781.0,9990.0,826460.0
2019,기타,기타,전체,6552930.0,14453.0,3477.0,443891.0
2020,기타,기타,전체,15487627.0,17886.0,6768.0,435632.0
2021,기타,기타,전체,152908559.0,107052.0,30649.0,4619522.0
2022,기타,기타,전체,7042539.0,39192.0,13899.0,2870169.0
2019,감축,기타,전체,154538820.0,144908.0,48985.0,7124321.0
2020,감축,기타,전체,5458914.0,20505.0,8868.0,711650.0
2021,감축,기타,전체,8816865.0,16635.0,5643.0,395784.0
2022,감축,기타,전체,13024364.0,19165.0,7064.0,889776.0
2019,감축,기타,전체,113305498.0,65950.0,18218.0,3612385.0
2020,감축,기타,전체,13933179.0,22653.0,9191.0,1514726.0
2021,감축,기타,전체,152213509.0,155041.0,51217.0,6202665.0
2022,감축,기타,전체,5768574.0,19945.0,7235.0,609393.0
2019,감축,기타,전체,8032601.0,19910.0,5084.0,464285.0
2020,감축,기타,전체,5726027.0,10055.0,2280.0,217448.0
2021,감축,기타,전체,7749411.0,11663.0,3163.0,385260.0
2022,감축,기타,전체,115378414.0,74224.0,26263.0,3041863.0
2019,감축,기타,전체,9558481.0,19244.0,7191.0,1484416.0
2020,감축,기타,전체,180587086.0,190496.0,59589.0,8601399.0
2021,감축,기타,전체,6330877.0,22786.0,8371.0,1098521.0
2022,감축,기타,전체,8171905.0,22517.0,6810.0,610738.0
2019,감축,기타,전체,5723378.0,12202.0,2220.0,354898.0
2020,감축,기타,전체,14136117.0,13827.0,4771.0,358781.0
2021,감축,기타,전체,140867434.0,96516.0,27790.0,4190330.0
2022,감축,기타,전체,5357376.0,22649.0,9627.0,1988131.0
2019,감축,기타,전체,10446545.0,7414.0,1902.0,197099.0
2020,감축,기타,전체,140263.0,816.0,272.0,8581.0
