기후기술분류별(1),기후기술분류별(2),2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
기후기술분류별(1),기후기술분류별(2),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상 1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
합계,소계,200365088,8084785,10288648,6552930,15487627,152908559,7042539
감축,소계,180587086,6330877,8171905,5723378,14136117,140867434,5357376
감축,비재생에너지,7356610,187200,138344,100857,157481,3819185,2953543
감축,재생에너지,20936657,2150299,2062003,2125838,1448527,12565082,584908
감축,신에너지,12263948,481044,352361,391735,147164,10884602,7042
감축,에너지저장,43203652,414204,583126,859273,634393,40501459,211198
감축,송배전&전력IT,22268351,911955,802056,612850,1375359,18218236,347894
감축,에너지수요,65937348,2081242,4106257,1605103,10252391,46642682,1249672
감축,온실가스 고정,8620520,104933,127756,27721,120803,8236189,3118
적응,소계,17750438,1585523,1968392,635749,1035162,10886872,1638739
적응,농업&축산,3911818,342996,287245,91158,228482,2722050,239887
적응,물관리,11071516,1068979,1213058,512155,542985,7646503,87836
적응,예측･모니터링,397990,34744,74214,26220,0,-,262813
적응,해양수산연안,41380,12148,16806,2000,9337,-,1089
적응,건강,1982099,64745,290702,0,133218,518319,975115
적응,산림육상,345634,61911,86367,4217,121140,-,72000
융복합,소계,2027564,168385,148352,193803,316348,1154252,46424
융복합,감축 및 적응 융복합,2027564,168385,148352,193803,316348,1154252,46424
