year,field,tech_name,lifecycle_stage,project_count,stage_order
2020,기타,소계,기초연구,7379,1
2020,기타,소계,응용연구,478,2
2020,기타,소계,개발연구,302,3
2020,기타,소계,시제품제작,5562,4
2020,기타,소계,사업화준비,1019,5
2020,기타,소계,시장진입,19,6
2020,기타,소계,시장확산,7604,7
2020,기타,소계,성숙기,585,8
2020,감축,소계,기초연구,6163,1
2020,감축,소계,응용연구,352,2
2020,감축,소계,개발연구,227,3
2020,감축,소계,시제품제작,4704,4
2020,감축,소계,사업화준비,868,5
2020,감축,소계,시장진입,12,6
2020,감축,소계,시장확산,6012,7
2020,감축,소계,성숙기,431,8
2020,감축,비재생에너지,기초연구,84,1
2020,감축,비재생에너지,응용연구,7,2
2020,감축,비재생에너지,개발연구,2,3
2020,감축,비재생에너지,시제품제작,57,4
2020,감축,비재생에너지,사업화준비,17,5
2020,감축,비재생에너지,시장진입,2,6
2020,감축,비재생에너지,시장확산,78,7
2020,감축,비재생에너지,성숙기,34,8
2020,감축,재생에너지,기초연구,2113,1
2020,감축,재생에너지,응용연구,75,2
2020,감축,재생에너지,개발연구,66,3
2020,감축,재생에너지,시제품제작,1780,4
2020,감축,재생에너지,사업화준비,187,5
2020,감축,재생에너지,시장진입,5,6
2020,감축,재생에너지,시장확산,2064,7
2020,감축,재생에너지,성숙기,105,8
2020,감축,신에너지,기초연구,148,1
2020,감축,신에너지,응용연구,7,2
2020,감축,신에너지,개발연구,9,3
2020,감축,신에너지,시제품제작,118,4
2020,감축,신에너지,사업화준비,13,5
2020,감축,신에너지,시장확산,148,7
2020,감축,신에너지,성숙기,2,8
2020,감축,에너지저장,기초연구,481,1
2020,감축,에너지저장,응용연구,40,2
2020,감축,에너지저장,개발연구,29,3
2020,감축,에너지저장,시제품제작,314,4
2020,감축,에너지저장,사업화준비,98,5
2020,감축,에너지저장,시장확산,464,7
2020,감축,에너지저장,성숙기,54,8
2020,감축,송배전&전력IT,기초연구,433,1
2020,감축,송배전&전력IT,응용연구,11,2
2020,감축,송배전&전력IT,개발연구,15,3
2020,감축,송배전&전력IT,시제품제작,362,4
2020,감축,송배전&전력IT,사업화준비,46,5
2020,감축,송배전&전력IT,시장확산,424,7
2020,감축,송배전&전력IT,성숙기,0,8
2020,감축,에너지수요,기초연구,2856,1
2020,감축,에너지수요,응용연구,210,2
2020,감축,에너지수요,개발연구,104,3
2020,감축,에너지수요,시제품제작,2029,4
2020,감축,에너지수요,사업화준비,506,5
2020,감축,에너지수요,시장진입,6,6
2020,감축,에너지수요,시장확산,2790,7
2020,감축,에너지수요,성숙기,225,8
2020,감축,온실가스 고정,기초연구,48,1
2020,감축,온실가스 고정,응용연구,2,2
2020,감축,온실가스 고정,개발연구,2,3
2020,감축,온실가스 고정,시제품제작,44,4
2020,감축,온실가스 고정,시장확산,45,7
2020,감축,온실가스 고정,성숙기,11,8
2020,적응,소계,기초연구,1049,1
2020,적응,소계,응용연구,92,2
2020,적응,소계,개발연구,65,3
2020,적응,소계,시제품제작,766,4
2020,적응,소계,사업화준비,122,5
2020,적응,소계,시장진입,5,6
2020,적응,소계,시장확산,1432,7
2020,적응,소계,성숙기,139,8
2020,적응,농업&축산,기초연구,417,1
2020,적응,농업&축산,응용연구,53,2
2020,적응,농업&축산,개발연구,18,3
2020,적응,농업&축산,시제품제작,297,4
2020,적응,농업&축산,사업화준비,44,5
2020,적응,농업&축산,시장진입,5,6
2020,적응,농업&축산,시장확산,533,7
2020,적응,농업&축산,성숙기,59,8
2020,적응,물관리,기초연구,632,1
2020,적응,물관리,응용연구,39,2
2020,적응,물관리,개발연구,47,3
2020,적응,물관리,시제품제작,469,4
2020,적응,물관리,사업화준비,78,5
2020,적응,물관리,시장확산,721,7
2020,적응,물관리,성숙기,36,8
2020,적응,예측･모니터링,시장확산,27,7
2020,적응,예측･모니터링,성숙기,10,8
2020,적응,해양수산연안,시장확산,58,7
2020,적응,해양수산연안,성숙기,7,8
2020,적응,건강,시장확산,48,7
2020,적응,건강,성숙기,19,8
2020,적응,산림육상,시장확산,45,7
2020,적응,산림육상,성숙기,8,8
2020,융복합,소계,기초연구,167,1
2020,융복합,소계,응용연구,34,2
2020,융복합,소계,개발연구,10,3
2020,융복합,소계,시제품제작,92,4
2020,융복합,소계,사업화준비,29,5
2020,융복합,소계,시장진입,2,6
2020,융복합,소계,시장확산,159,7
2020,융복합,소계,성숙기,15,8
2020,융복합,감축 및 적응 융복합,기초연구,167,1
2020,융복합,감축 및 적응 융복합,응용연구,34,2
2020,융복합,감축 및 적응 융복합,개발연구,10,3
2020,융복합,감축 및 적응 융복합,시제품제작,92,4
2020,융복합,감축 및 적응 융복합,사업화준비,29,5
2020,융복합,감축 및 적응 융복합,시장진입,2,6
2020,융복합,감축 및 적응 융복합,시장확산,159,7
2020,융복합,감축 및 적응 융복합,성숙기,15,8
