year,region,field,tech_name,export_count,latitude,longitude,countries
2020,동남아시아,기타,소계,1980,10.0,110.0,"베트남, 태국, 인도네시아"
2020,중국,기타,소계,1813,35.0,104.0,중국
2020,일본,기타,소계,86,36.0,138.0,일본
2020,유럽,기타,소계,143,54.0,15.0,"독일, 프랑스, 영국"
2020,북미,기타,소계,485,45.0,-100.0,"미국, 캐나다"
2020,중동,기타,소계,53,25.0,45.0,"UAE, 사우디아라비아"
2020,남미,기타,소계,89,-15.0,-60.0,"브라질, 아르헨티나"
2020,아프리카,기타,소계,410,0.0,20.0,"남아프리카공화국, 이집트"
2020,동남아시아,기타,소계,2296,10.0,110.0,"베트남, 태국, 인도네시아"
2020,중국,기타,소계,2517,35.0,104.0,중국
2020,일본,기타,소계,206,36.0,138.0,일본
2020,유럽,기타,소계,190,54.0,15.0,"독일, 프랑스, 영국"
2020,북미,기타,소계,563,45.0,-100.0,"미국, 캐나다"
2020,중동,기타,소계,84,25.0,45.0,"UAE, 사우디아라비아"
2020,남미,기타,소계,126,-15.0,-60.0,"브라질, 아르헨티나"
2020,아프리카,기타,소계,317,0.0,20.0,"남아프리카공화국, 이집트"
2020,동남아시아,기타,소계,2872,10.0,110.0,"베트남, 태국, 인도네시아"
2020,중국,기타,소계,3167,35.0,104.0,중국
2020,일본,기타,소계,306,36.0,138.0,일본
2020,유럽,기타,소계,216,54.0,15.0,"독일, 프랑스, 영국"
2020,북미,기타,소계,731,45.0,-100.0,"미국, 캐나다"
2020,중동,기타,소계,117,25.0,45.0,"UAE, 사우디아라비아"
2020,남미,기타,소계,160,-15.0,-60.0,"브라질, 아르헨티나"
2020,아프리카,기타,소계,356,0.0,20.0,"남아프리카공화국, 이집트"
2020,동남아시아,감축,소계,1695,10.0,110.0,"베트남, 태국, 인도네시아"
2020,중국,감축,소계,1580,35.0,104.0,중국
2020,일본,감축,소계,75,36.0,138.0,일본
2020,유럽,감축,소계,123,54.0,15.0,"독일, 프랑스, 영국"
2020,북미,감축,소계,425,45.0,-100.0,"미국, 캐나다"
2020,중동,감축,소계,33,25.0,45.0,"UAE, 사우디아라비아"
2020,남미,감축,소계,76,-15.0,-60.0,"브라질, 아르헨티나"
